episode,total_reward,loss,epsilon
1,0.0,1.648889883654192e-05,0.995
2,1.0,1.727798553474713e-05,0.990025
3,0.0,1.6483987565152347e-05,0.985074875
4,0.0,1.6446070731035434e-05,0.9801495006250001
5,0.0,1.644189251237549e-05,0.9752487531218751
6,0.0,1.1577904433790476e-11,0.9703725093562657
7,1.0,1.6579855582676828e-05,0.9655206468094844
8,2.0,0.028727592900395393,0.960693043575437
9,2.0,0.0009252454619854689,0.9558895783575597
10,2.0,0.029574912041425705,0.9511101304657719
11,2.0,0.030696075409650803,0.946354579813443
12,3.0,7.662792995688505e-06,0.9416228069143757
13,2.0,0.028247827664017677,0.9369146928798039
14,2.0,0.00025601903325878084,0.9322301194154049
15,0.0,1.4616117344212753e-11,0.9275689688183278
16,0.0,6.884749745950103e-05,0.9229311239742362
17,0.0,6.886501068947837e-05,0.918316468354365
18,4.0,0.0015007712645456195,0.9137248860125932
19,0.0,3.6572117778632673e-08,0.9091562615825302
20,0.0,6.696546188322827e-05,0.9046104802746175
21,2.0,6.605638191103935e-05,0.9000874278732445
22,0.0,4.998903513353525e-10,0.8955869907338783
23,3.0,0.028809180483222008,0.8911090557802088
24,1.0,1.9006642105523497e-05,0.8866535105013078
25,1.0,0.02829931676387787,0.8822202429488013
26,1.0,2.0155653146503028e-06,0.8778091417340573
27,2.0,0.0019248361932113767,0.8734200960253871
28,2.0,0.0020599577110260725,0.8690529955452602
29,3.0,0.002267383271828294,0.8647077305675338
30,1.0,1.0749751027105958e-06,0.8603841919146962
31,6.0,0.002637520432472229,0.8560822709551227
32,1.0,0.0005971448263153434,0.851801859600347
33,3.0,0.001984803471714258,0.8475428503023453
34,1.0,0.001686667907051742,0.8433051360508336
35,0.0,0.0012869957135990262,0.8390886103705794
36,1.0,4.3548587314035103e-07,0.8348931673187264
37,3.0,0.03134610131382942,0.8307187014821328
38,2.0,0.03096306324005127,0.8265651079747222
39,1.0,0.001853772671893239,0.8224322824348486
40,2.0,0.0018416072707623243,0.8183201210226743
41,3.0,0.031755588948726654,0.8142285204175609
42,2.0,0.0038626263849437237,0.810157377815473
43,0.0,5.906965583335477e-09,0.8061065909263957
44,0.0,7.002841417858008e-09,0.8020760579717637
45,1.0,0.0068668182939291,0.798065677681905
46,3.0,0.004141620825976133,0.7940753492934954
47,2.0,0.004044311586767435,0.7901049725470279
48,2.0,0.00016884533397387713,0.7861544476842928
49,2.0,0.0038371491245925426,0.7822236754458713
50,2.0,0.03315802291035652,0.778312557068642
51,1.0,4.2560805013636127e-07,0.7744209942832988
52,2.0,0.0364222377538681,0.7705488893118823
53,2.0,0.006070706993341446,0.7666961448653229
54,3.0,0.029749926179647446,0.7628626641409962
55,1.0,0.0066656130366027355,0.7590483508202912
56,1.0,4.6000216968877794e-08,0.7552531090661897
57,0.0,9.751608587293958e-08,0.7514768435208588
58,3.0,0.005415619816631079,0.7477194593032545
59,0.0,0.005210900213569403,0.7439808620067382
60,0.0,0.005213810130953789,0.7402609576967045
61,1.0,1.7773629679140868e-08,0.736559652908221
62,0.0,0.005228162277489901,0.7328768546436799
63,8.0,0.02932955138385296,0.7292124703704616
64,0.0,0.00637604808434844,0.7255664080186093
65,3.0,0.035567756742239,0.7219385759785162
66,1.0,0.006645910441875458,0.7183288830986236
67,0.0,9.059466776761838e-08,0.7147372386831305
68,1.0,0.006018598098307848,0.7111635524897149
69,2.0,0.007156179752200842,0.7076077347272662
70,0.0,1.9988792843150804e-08,0.7040696960536299
71,1.0,7.724248462182004e-06,0.7005493475733617
72,3.0,1.4054687653697329e-06,0.697046600835495
73,3.0,0.00839621014893055,0.6935613678313175
74,0.0,0.007262393832206726,0.6900935609921609
75,0.0,0.007227426860481501,0.6866430931872001
76,1.0,0.03691273555159569,0.6832098777212641
77,0.0,1.5105271700122103e-07,0.6797938283326578
78,0.0,0.0072572072967886925,0.6763948591909945
79,3.0,0.007810045965015888,0.6730128848950395
80,4.0,0.02883083000779152,0.6696478204705644
81,2.0,0.03871556371450424,0.6662995813682115
82,3.0,0.03968387842178345,0.6629680834613705
83,0.0,0.010103115811944008,0.6596532430440636
84,0.0,0.010122736915946007,0.6563549768288433
85,0.0,0.010120014660060406,0.653073201944699
86,2.0,0.028586285188794136,0.6498078359349755
87,1.0,0.028549538925290108,0.6465587967553006
88,2.0,0.029045816510915756,0.6433260027715241
89,1.0,0.012133987620472908,0.6401093727576664
90,1.0,0.012010438367724419,0.6369088258938781
91,2.0,0.002737427828833461,0.6337242817644086
92,1.0,0.029341643676161766,0.6305556603555866
93,4.0,0.04410377889871597,0.6274028820538087
94,3.0,0.0019942624494433403,0.6242658676435396
95,2.0,0.04611320048570633,0.6211445383053219
96,0.0,4.736195791110731e-08,0.6180388156137953
97,2.0,0.029097748920321465,0.6149486215357263
98,0.0,0.01444497425109148,0.6118738784280476
99,2.0,0.013980947434902191,0.6088145090359074
100,3.0,0.02992361970245838,0.6057704364907278
101,0.0,5.581564437306952e-07,0.6027415843082742
102,1.0,0.014652220532298088,0.5997278763867329
103,0.0,0.014144963584840298,0.5967292370047992
104,1.0,5.245089596428443e-06,0.5937455908197752
105,1.0,0.01386723481118679,0.5907768628656763
106,0.0,0.013883390463888645,0.5878229785513479
107,6.0,0.028750136494636536,0.5848838636585911
108,3.0,0.014960182830691338,0.5819594443402982
109,1.0,0.013870025984942913,0.5790496471185967
110,4.0,0.01381449680775404,0.5761543988830038
111,4.0,0.043661002069711685,0.5732736268885887
112,2.0,0.015969622880220413,0.5704072587541458
113,3.0,0.013589965179562569,0.567555222460375
114,2.0,0.013960477896034718,0.5647174463480732
115,1.0,0.014208740554749966,0.5618938591163328
116,5.0,0.0011463246773928404,0.5590843898207511
117,4.0,0.014480690471827984,0.5562889678716474
118,5.0,0.02932339534163475,0.5535075230322891
119,1.0,0.014665289781987667,0.5507399854171277
120,0.0,0.014549965038895607,0.547986285490042
121,4.0,0.029911696910858154,0.5452463540625918
122,2.0,0.04553542286157608,0.5425201222922789
123,1.0,0.0011815789621323347,0.5398075216808175
124,1.0,0.014384553767740726,0.5371084840724134
125,3.0,0.029431480914354324,0.5344229416520513
126,4.0,0.015866758301854134,0.531750826943791
127,3.0,0.018437856808304787,0.5290920728090721
128,0.0,0.015396319329738617,0.5264466124450268
129,2.0,0.029894689098000526,0.5238143793828016
130,1.0,0.015069568529725075,0.5211953074858876
131,0.0,0.015078551135957241,0.5185893309484582
132,1.0,0.000619898026343435,0.5159963842937159
133,2.0,0.01463231910020113,0.5134164023722473
134,2.0,0.014654773287475109,0.510849320360386
135,0.0,0.014800500124692917,0.5082950737585841
136,0.0,0.014873230829834938,0.5057535983897912
137,0.0,0.014804810285568237,0.5032248303978422
138,2.0,0.014891248196363449,0.500708706245853
139,2.0,0.018473824486136436,0.4982051627146237
140,2.0,0.018532102927565575,0.49571413690105054
141,2.0,0.017201310023665428,0.4932355662165453
142,1.0,0.000365975487511605,0.4907693883854626
143,2.0,0.04928845539689064,0.4883155414435353
144,1.0,0.00011020492820534855,0.4858739637363176
