Episode,Reward,Mean_Reward
1,9.0,9.0
2,10.0,9.5
3,14.0,11.0
4,9.0,10.5
5,9.0,10.2
6,10.0,10.166666666666666
7,12.0,10.428571428571429
8,9.0,10.25
9,29.0,12.333333333333334
10,20.0,13.1
11,17.0,13.454545454545455
12,35.0,15.25
13,41.0,17.23076923076923
14,17.0,17.214285714285715
15,8.0,16.6
16,16.0,16.5625
17,9.0,16.11764705882353
18,11.0,15.833333333333334
19,17.0,15.894736842105264
20,22.0,16.2
21,12.0,16.0
22,13.0,15.863636363636363
23,10.0,15.608695652173912
24,11.0,15.416666666666666
25,16.0,15.44
26,70.0,17.53846153846154
27,36.0,18.22222222222222
28,23.0,18.392857142857142
29,43.0,19.24137931034483
30,25.0,19.433333333333334
31,82.0,21.451612903225808
32,21.0,21.4375
33,12.0,21.151515151515152
34,68.0,22.529411764705884
35,51.0,23.34285714285714
36,9.0,22.944444444444443
37,10.0,22.594594594594593
38,18.0,22.473684210526315
39,9.0,22.128205128205128
40,13.0,21.9
41,21.0,21.878048780487806
42,18.0,21.785714285714285
43,73.0,22.976744186046513
44,17.0,22.84090909090909
45,9.0,22.533333333333335
46,18.0,22.434782608695652
47,45.0,22.914893617021278
48,45.0,23.375
49,8.0,23.06122448979592
50,17.0,22.94
51,9.0,22.94
52,58.0,23.9
53,9.0,23.8
54,10.0,23.82
55,15.0,23.94
56,22.0,24.18
57,9.0,24.12
58,10.0,24.14
59,25.0,24.06
60,29.0,24.24
61,8.0,24.06
62,15.0,23.66
63,21.0,23.26
64,20.0,23.32
65,12.0,23.4
66,13.0,23.34
67,32.0,23.8
68,18.0,23.94
69,13.0,23.86
70,61.0,24.64
71,31.0,25.02
72,31.0,25.38
73,25.0,25.68
74,20.0,25.86
75,24.0,26.02
76,48.0,25.58
77,37.0,25.6
78,19.0,25.52
79,18.0,25.02
80,18.0,24.88
81,11.0,23.46
82,15.0,23.34
83,24.0,23.58
84,35.0,22.92
85,13.0,22.16
86,23.0,22.44
87,13.0,22.5
88,15.0,22.44
89,22.0,22.7
90,15.0,22.74
91,47.0,23.26
92,31.0,23.52
93,24.0,22.54
94,37.0,22.94
95,61.0,23.98
96,52.0,24.66
97,13.0,24.02
98,18.0,23.48
99,23.0,23.78
100,14.0,23.72
101,35.0,24.24
102,14.0,23.36
103,49.0,24.16
104,16.0,24.28
105,43.0,24.84
106,15.0,24.7
107,12.0,24.76
108,18.0,24.92
109,41.0,25.24
110,59.0,25.84
111,12.0,25.92
112,23.0,26.08
113,20.0,26.06
114,25.0,26.16
115,28.0,26.48
116,22.0,26.66
117,38.0,26.78
118,70.0,27.82
119,40.0,28.36
120,28.0,27.7
121,36.0,27.8
122,14.0,27.46
123,34.0,27.64
124,30.0,27.84
125,36.0,28.08
126,19.0,27.5
127,11.0,26.98
128,27.0,27.14
129,23.0,27.24
130,15.0,27.18
131,26.0,27.48
132,57.0,28.32
133,31.0,28.46
134,18.0,28.12
135,35.0,28.56
136,9.0,28.28
137,55.0,29.12
138,61.0,30.04
139,31.0,30.22
140,26.0,30.44
141,23.0,29.96
142,17.0,29.68
143,29.0,29.78
144,33.0,29.7
145,56.0,29.6
146,26.0,29.08
147,57.0,29.96
148,22.0,30.04
149,12.0,29.82
150,40.0,30.34
151,17.0,29.98
152,16.0,30.02
153,50.0,30.04
154,40.0,30.52
155,16.0,29.98
156,53.0,30.74
157,32.0,31.14
158,44.0,31.66
159,32.0,31.48
160,27.0,30.84
161,52.0,31.64
162,11.0,31.4
163,40.0,31.8
164,24.0,31.78
165,55.0,32.32
166,23.0,32.34
167,37.0,32.32
168,46.0,31.84
169,11.0,31.26
170,32.0,31.34
171,46.0,31.54
172,50.0,32.26
173,34.0,32.26
174,33.0,32.32
175,22.0,32.04
176,15.0,31.96
177,20.0,32.14
178,19.0,31.98
179,45.0,32.42
180,40.0,32.92
181,47.0,33.34
182,30.0,32.8
183,40.0,32.98
184,59.0,33.8
185,13.0,33.36
186,50.0,34.18
187,22.0,33.52
188,19.0,32.68
189,16.0,32.38
190,21.0,32.28
191,17.0,32.16
192,46.0,32.74
193,47.0,33.1
194,26.0,32.96
195,21.0,32.26
196,22.0,32.18
197,21.0,31.46
198,51.0,32.04
199,44.0,32.68
200,23.0,32.34
201,19.0,32.38
202,20.0,32.46
203,18.0,31.82
204,12.0,31.26
205,16.0,31.26
206,26.0,30.72
207,53.0,31.14
208,17.0,30.6
209,11.0,30.18
210,37.0,30.38
211,10.0,29.54
212,37.0,30.06
213,17.0,29.6
214,23.0,29.58
215,37.0,29.22
216,10.0,28.96
217,42.0,29.06
218,28.0,28.7
219,24.0,28.96
220,26.0,28.84
221,50.0,28.92
222,11.0,28.14
223,15.0,27.76
224,19.0,27.48
225,33.0,27.7
226,10.0,27.6
227,20.0,27.6
228,52.0,28.26
229,23.0,27.82
230,34.0,27.7
231,43.0,27.62
232,24.0,27.5
233,48.0,27.66
234,10.0,26.68
235,13.0,26.68
236,12.0,25.92
237,8.0,25.64
238,12.0,25.5
239,44.0,26.06
240,45.0,26.54
241,42.0,27.04
242,11.0,26.34
243,53.0,26.46
244,26.0,26.46
245,25.0,26.54
246,57.0,27.24
247,45.0,27.72
248,11.0,26.92
249,12.0,26.28
250,11.0,26.04
251,12.0,25.9
252,10.0,25.7
253,10.0,25.54
254,10.0,25.5
