Episode,Reward,Mean_Reward
1,10.0,10.0
2,9.0,9.5
3,9.0,9.333333333333334
4,10.0,9.5
5,10.0,9.6
6,9.0,9.5
7,9.0,9.428571428571429
8,9.0,9.375
9,9.0,9.333333333333334
10,10.0,9.4
11,9.0,9.363636363636363
12,20.0,10.25
13,10.0,10.23076923076923
14,10.0,10.214285714285714
15,60.0,13.533333333333333
16,10.0,13.3125
17,9.0,13.058823529411764
18,11.0,12.944444444444445
19,11.0,12.842105263157896
20,10.0,12.7
21,10.0,12.571428571428571
22,28.0,13.272727272727273
23,11.0,13.173913043478262
24,11.0,13.083333333333334
25,9.0,12.92
26,12.0,12.884615384615385
27,38.0,13.814814814814815
28,9.0,13.642857142857142
29,12.0,13.586206896551724
30,12.0,13.533333333333333
31,10.0,13.419354838709678
32,8.0,13.25
33,11.0,13.181818181818182
34,10.0,13.088235294117647
35,27.0,13.485714285714286
36,9.0,13.36111111111111
37,9.0,13.243243243243244
38,15.0,13.289473684210526
39,9.0,13.179487179487179
40,10.0,13.1
41,10.0,13.024390243902438
42,9.0,12.928571428571429
43,10.0,12.86046511627907
44,9.0,12.772727272727273
45,10.0,12.71111111111111
46,9.0,12.630434782608695
47,10.0,12.574468085106384
48,19.0,12.708333333333334
49,9.0,12.63265306122449
50,10.0,12.58
51,13.0,12.64
52,10.0,12.66
53,9.0,12.66
54,18.0,12.82
55,10.0,12.82
56,9.0,12.82
57,9.0,12.82
58,11.0,12.86
59,13.0,12.94
60,8.0,12.9
61,10.0,12.92
62,9.0,12.7
63,11.0,12.72
64,9.0,12.7
65,9.0,11.68
66,9.0,11.66
67,9.0,11.66
68,8.0,11.6
69,9.0,11.56
70,8.0,11.52
71,10.0,11.52
72,15.0,11.26
73,10.0,11.24
74,10.0,11.22
75,8.0,11.2
76,10.0,11.16
77,14.0,10.68
78,9.0,10.68
79,9.0,10.62
80,8.0,10.54
81,9.0,10.52
82,10.0,10.56
83,19.0,10.72
84,12.0,10.76
85,10.0,10.42
86,9.0,10.42
87,9.0,10.42
88,9.0,10.3
89,9.0,10.3
90,9.0,10.28
91,13.0,10.34
92,9.0,10.34
93,9.0,10.32
94,13.0,10.4
95,10.0,10.4
96,10.0,10.42
97,9.0,10.4
98,17.0,10.36
99,9.0,10.36
100,11.0,10.38
101,9.0,10.3
102,9.0,10.28
103,8.0,10.26
104,8.0,10.06
105,10.0,10.06
106,9.0,10.06
107,9.0,10.06
108,10.0,10.04
109,10.0,9.98
110,22.0,10.26
111,9.0,10.24
112,9.0,10.24
113,12.0,10.26
114,10.0,10.28
115,8.0,10.26
116,19.0,10.46
117,10.0,10.48
118,9.0,10.5
119,8.0,10.48
120,9.0,10.5
121,20.0,10.7
122,8.0,10.56
123,16.0,10.68
124,18.0,10.84
125,9.0,10.86
126,9.0,10.84
127,9.0,10.74
128,12.0,10.8
129,9.0,10.8
130,10.0,10.84
131,15.0,10.96
132,29.0,11.34
133,13.0,11.22
134,14.0,11.26
135,8.0,11.22
136,9.0,11.22
137,9.0,11.22
138,8.0,11.2
139,12.0,11.26
140,11.0,11.3
141,9.0,11.22
142,9.0,11.22
143,9.0,11.22
144,8.0,11.12
145,9.0,11.1
146,8.0,11.06
147,10.0,11.08
148,8.0,10.9
149,10.0,10.92
150,10.0,10.9
151,13.0,10.98
152,9.0,10.98
153,10.0,11.02
154,8.0,11.02
155,8.0,10.98
156,8.0,10.96
157,9.0,10.96
158,10.0,10.96
159,17.0,11.1
160,10.0,10.86
161,10.0,10.88
162,8.0,10.86
163,10.0,10.82
164,9.0,10.8
165,9.0,10.82
166,9.0,10.62
167,9.0,10.6
168,9.0,10.6
169,9.0,10.62
170,9.0,10.62
171,21.0,10.64
172,10.0,10.68
173,10.0,10.56
174,9.0,10.38
175,9.0,10.38
176,29.0,10.78
177,10.0,10.8
178,10.0,10.76
179,9.0,10.76
180,8.0,10.72
181,9.0,10.6
182,8.0,10.18
183,9.0,10.1
184,15.0,10.12
185,10.0,10.16
186,19.0,10.36
187,9.0,10.36
188,18.0,10.56
189,9.0,10.5
190,10.0,10.48
191,9.0,10.48
192,8.0,10.46
193,9.0,10.46
194,8.0,10.46
195,10.0,10.48
196,31.0,10.94
197,10.0,10.94
198,14.0,11.06
199,8.0,11.02
200,8.0,10.98
201,10.0,10.92
202,8.0,10.9
203,11.0,10.92
204,10.0,10.96
205,32.0,11.44
206,10.0,11.48
207,11.0,11.52
208,9.0,11.5
209,15.0,11.46
210,13.0,11.52
211,9.0,11.5
212,16.0,11.66
213,14.0,11.74
214,18.0,11.92
215,10.0,11.94
216,12.0,12.0
217,12.0,12.06
218,19.0,12.26
219,12.0,12.32
220,18.0,12.5
221,12.0,12.32
222,8.0,12.28
223,9.0,12.26
224,9.0,12.26
225,9.0,12.26
226,10.0,11.88
227,8.0,11.84
228,20.0,12.04
229,17.0,12.2
230,9.0,12.22
231,10.0,12.24
232,9.0,12.26
233,8.0,12.24
234,20.0,12.34
235,10.0,12.34
236,11.0,12.18
237,8.0,12.16
238,15.0,12.1
239,11.0,12.14
240,16.0,12.26
241,10.0,12.28
242,9.0,12.3
243,24.0,12.6
244,20.0,12.84
245,10.0,12.84
246,10.0,12.42
247,9.0,12.4
248,17.0,12.46
249,8.0,12.46
250,8.0,12.46
251,10.0,12.46
252,9.0,12.48
253,9.0,12.44
254,13.0,12.5
255,11.0,12.08
256,9.0,12.06
257,20.0,12.24
258,9.0,12.24
259,21.0,12.36
260,10.0,12.3
261,10.0,12.32
262,11.0,12.22
263,10.0,12.14
264,24.0,12.26
265,9.0,12.24
266,10.0,12.2
267,12.0,12.2
268,9.0,12.0
269,9.0,11.94
270,12.0,11.82
271,22.0,12.02
272,34.0,12.54
273,10.0,12.56
274,12.0,12.62
275,11.0,12.66
276,19.0,12.84
277,22.0,13.12
278,16.0,13.04
279,11.0,12.92
280,16.0,13.06
281,25.0,13.36
282,13.0,13.44
283,11.0,13.5
284,10.0,13.3
285,10.0,13.3
286,9.0,13.26
287,14.0,13.38
288,9.0,13.26
289,10.0,13.24
290,10.0,13.12
291,10.0,13.12
292,36.0,13.66
293,25.0,13.68
294,11.0,13.5
295,9.0,13.48
296,13.0,13.54
297,59.0,14.54
298,11.0,14.42
299,12.0,14.5
300,13.0,14.6
301,28.0,14.96
302,20.0,15.18
303,10.0,15.2
304,14.0,15.22
305,22.0,15.44
306,9.0,15.44
307,13.0,15.3
308,20.0,15.52
309,9.0,15.28
310,10.0,15.28
311,25.0,15.58
312,36.0,16.08
313,15.0,16.18
314,9.0,15.88
315,21.0,16.12
316,17.0,16.26
317,11.0,16.24
318,18.0,16.42
319,9.0,16.42
320,9.0,16.36
321,20.0,16.32
322,9.0,15.82
323,10.0,15.82
324,35.0,16.28
325,12.0,16.3
326,15.0,16.22
327,12.0,16.02
328,9.0,15.88
329,34.0,16.34
330,10.0,16.22
331,9.0,15.9
332,21.0,16.06
333,9.0,16.02
334,24.0,16.3
335,22.0,16.54
336,27.0,16.9
337,26.0,17.14
338,9.0,17.14
339,10.0,17.14
340,11.0,17.16
341,25.0,17.46
342,16.0,17.06
343,9.0,16.74
344,23.0,16.98
345,20.0,17.2
346,9.0,17.12
347,24.0,16.42
348,11.0,16.42
349,20.0,16.58
350,16.0,16.64
351,9.0,16.26
352,22.0,16.3
353,17.0,16.44
354,10.0,16.36
355,9.0,16.1
356,10.0,16.12
357,9.0,16.04
358,8.0,15.8
359,10.0,15.82
360,9.0,15.8
361,9.0,15.48
362,22.0,15.2
363,8.0,15.06
364,9.0,15.06
365,18.0,15.0
366,10.0,14.86
367,9.0,14.82
368,10.0,14.66
369,22.0,14.92
370,26.0,15.26
371,9.0,15.04
372,26.0,15.38
373,9.0,15.36
374,10.0,14.86
375,28.0,15.18
376,20.0,15.28
377,8.0,15.2
378,8.0,15.18
379,8.0,14.66
380,10.0,14.66
381,8.0,14.64
382,21.0,14.64
383,16.0,14.78
384,10.0,14.5
385,12.0,14.3
386,9.0,13.94
387,17.0,13.76
388,8.0,13.74
389,9.0,13.72
390,18.0,13.86
391,15.0,13.66
392,9.0,13.52
393,8.0,13.5
394,19.0,13.42
395,10.0,13.22
396,27.0,13.58
397,9.0,13.28
398,31.0,13.68
399,10.0,13.48
400,9.0,13.34
401,10.0,13.36
402,24.0,13.4
403,9.0,13.24
404,37.0,13.78
405,28.0,14.16
406,10.0,14.16
407,24.0,14.46
408,10.0,14.5
409,23.0,14.76
410,17.0,14.92
411,10.0,14.94
412,10.0,14.7
413,27.0,15.08
414,11.0,15.12
415,11.0,14.98
416,9.0,14.96
417,11.0,15.0
418,9.0,14.98
419,9.0,14.72
420,23.0,14.66
421,14.0,14.76
422,18.0,14.6
423,9.0,14.6
424,15.0,14.7
425,17.0,14.48
426,10.0,14.28
427,9.0,14.3
428,19.0,14.52
429,9.0,14.54
430,31.0,14.96
431,21.0,15.22
432,20.0,15.2
433,12.0,15.12
434,9.0,15.1
435,20.0,15.26
436,24.0,15.56
437,9.0,15.4
438,9.0,15.42
