Episode,Steps,Mean_Reward
0,11,11.0
1,20,10.0
2,29,9.666666666666666
3,38,9.5
4,48,9.6
5,59,9.833333333333334
6,68,9.714285714285714
7,77,9.625
8,86,9.555555555555555
9,94,9.4
10,103,9.363636363636363
11,113,9.416666666666666
12,122,9.384615384615385
13,132,9.428571428571429
14,142,9.466666666666667
15,154,9.625
16,164,9.647058823529411
17,173,9.61111111111111
18,184,9.68421052631579
19,192,9.6
20,202,9.619047619047619
21,214,9.727272727272727
22,222,9.652173913043478
23,230,9.583333333333334
24,248,9.92
25,262,10.076923076923077
26,274,10.148148148148149
27,289,10.321428571428571
28,298,10.275862068965518
29,332,11.066666666666666
30,342,11.03225806451613
31,351,10.96875
32,377,11.424242424242424
33,391,11.5
34,399,11.4
35,413,11.472222222222221
36,430,11.621621621621621
37,441,11.605263157894736
38,451,11.564102564102564
39,468,11.7
40,492,12.0
41,502,11.952380952380953
42,522,12.13953488372093
43,537,12.204545454545455
44,547,12.155555555555555
45,559,12.152173913043478
46,586,12.46808510638298
47,600,12.5
48,613,12.510204081632653
49,623,12.46
50,643,12.64
51,654,12.68
52,667,12.76
53,709,13.42
54,723,13.5
55,733,13.48
56,754,13.72
57,764,13.74
58,774,13.76
59,788,13.88
60,805,14.04
61,816,14.06
62,833,14.22
63,856,14.48
64,867,14.5
65,876,14.44
66,894,14.6
67,903,14.6
68,911,14.54
69,920,14.56
70,932,14.6
71,954,14.8
72,964,14.84
73,977,14.94
74,994,14.92
75,1012,15.0
76,1022,14.96
77,1033,14.88
78,1042,14.88
79,1068,14.72
80,1077,14.7
81,1104,15.06
82,1128,15.02
83,1170,15.58
84,1207,16.16
85,1220,16.14
86,1239,16.18
87,1270,16.58
88,1318,17.34
89,1334,17.32
90,1358,17.32
91,1368,17.32
92,1380,17.16
93,1389,17.04
94,1436,17.78
95,1466,18.14
96,1488,18.04
97,1503,18.06
98,1521,18.16
99,1533,18.2
100,1559,18.32
101,1598,18.88
102,1614,18.94
103,1623,18.28
104,1671,18.96
105,1698,19.3
106,1713,19.18
107,1723,19.18
108,1739,19.3
109,1777,19.78
110,1791,19.72
111,1810,19.88
112,1847,20.28
113,1860,20.08
114,1901,20.68
115,1919,20.86
116,1938,20.88
117,1961,21.16
118,1982,21.42
119,2000,21.6
120,2015,21.66
121,2037,21.66
122,2078,22.28
123,2111,22.68
124,2139,22.9
125,2166,23.08
126,2207,23.7
127,2243,24.2
128,2256,24.28
129,2273,24.1
130,2294,24.34
131,2311,24.14
132,2331,24.06
133,2355,23.7
134,2414,24.14
135,2433,24.26
136,2452,24.26
137,2471,24.02
138,2499,23.62
139,2543,24.18
140,2554,23.92
141,2577,24.18
142,2596,24.32
143,2605,24.32
144,2622,23.72
145,2641,23.5
146,2663,23.5
147,2683,23.6
148,2707,23.72
149,2730,23.94
150,2774,24.3
151,2793,23.9
152,2841,24.54
153,2864,24.82
154,2887,24.32
155,2929,24.62
156,2942,24.58
157,2956,24.66
158,2977,24.76
159,3007,24.6
160,3050,25.18
161,3071,25.22
162,3082,24.7
163,3108,24.96
164,3159,25.16
165,3170,25.02
166,3184,24.92
167,3231,25.4
168,3269,25.74
169,3312,26.24
170,3341,26.52
171,3353,26.32
172,3392,26.28
173,3457,26.92
174,3488,26.98
175,3515,26.98
176,3562,27.1
177,3589,26.92
178,3614,27.16
179,3645,27.44
180,3659,27.3
181,3695,27.68
182,3724,27.86
183,3735,27.6
184,3757,26.86
185,3820,27.74
186,3848,27.92
187,3921,29.0
188,3951,29.04
189,4001,29.16
190,4017,29.26
191,4060,29.66
192,4104,30.16
193,4155,31.0
194,4165,30.86
195,4179,30.76
196,4191,30.56
197,4203,30.4
198,4216,30.18
199,4228,29.96
200,4276,30.04
201,4310,30.34
202,4321,29.6
203,4341,29.54
204,4355,29.36
205,4389,29.2
206,4398,29.12
207,4537,31.62
208,4557,31.6
209,4574,31.34
210,4608,31.16
211,4664,31.86
212,4687,32.1
213,4698,31.8
214,4732,31.46
215,4744,31.48
216,4782,31.96
217,4832,32.02
218,4849,31.6
219,4873,31.22
220,4913,31.44
221,4946,31.86
222,4976,31.68
223,4995,30.76
224,5051,31.26
225,5074,31.18
226,5085,30.46
227,5106,30.34
228,5164,31.0
229,5186,30.82
230,5255,31.92
231,5280,31.7
232,5296,31.44
233,5314,31.58
234,5346,31.78
235,5372,31.04
236,5410,31.24
237,5437,30.32
238,5461,30.2
239,5484,29.66
240,5526,30.18
241,5566,30.12
242,5620,30.32
243,5652,29.94
244,5688,30.46
245,5716,30.74
246,5736,30.9
247,5794,31.82
248,5824,32.16
249,5840,32.24
250,5864,31.76
251,5908,31.96
252,5944,32.46
253,5966,32.5
254,5999,32.88
255,6055,33.32
256,6084,33.72
257,6116,31.58
258,6135,31.56
259,6168,31.88
260,6196,31.76
261,6225,31.22
262,6304,32.34
263,6361,33.26
264,6390,33.16
265,6413,33.38
266,6424,32.84
267,6437,32.1
268,6472,32.46
269,6486,32.26
270,6504,31.82
271,6538,31.84
272,6582,32.12
273,6628,32.66
274,6653,32.04
275,6715,32.82
276,6737,33.04
277,6769,33.26
278,6811,32.94
279,6852,33.32
280,6892,32.74
281,6918,32.76
282,6970,33.48
283,6996,33.64
284,7044,33.96
285,7056,33.68
286,7081,33.42
287,7110,33.46
288,7188,34.54
289,7199,34.3
290,7218,33.84
291,7233,33.34
292,7273,33.06
293,7297,32.9
